,init_b1,init_h1,init_h2,init_prevac,init_postvac,param_b1,param_h1,param_h2,param_prevac,param_postvac,RSE,MSE,MAE,SSE,MAPE
0,0.4773838786575068,0.5670150885658587,0.6918577425940572,0.979080840578649,0.03399899474034346,-3.8919864745915235e-17,1.4196418880088126,-1.177062156038243e-20,0.6763725607558906,0.0001379936005620275,9.100587593186637,1905486.8445257137,1353.7967951753146,205792579.20877707,135379.67951753148
1,0.06271439473188205,0.22812098926633395,0.2994485337266693,0.5972503063209396,0.4234256698512441,-3.587157933709086e-28,-3.5871579292117425e-28,0.4938341602006313,1.6865141320230976,2.332743304107241,9.10058758358944,1905486.8425162467,1353.7967945639664,205792578.99175465,135379.67945639664
2,0.8143773433721957,0.7084993773669467,0.3756736920919521,0.1133070270142548,0.3457721532672987,2.373047357861762e-22,-2.352883377498491e-18,9.457956774938183e-25,1.1081766432222835,0.19227321059850905,9.100587592155897,1905486.8443098965,1353.7967951115277,205792579.18546882,135379.67951115276
3,0.07366815600725884,0.13032564047506323,0.24316935177690374,0.21608375166919974,0.708127474302799,-5.1132845926499634e-20,1.5597912066438155,1.7597972515161233,0.0002620899634991005,2.1446164441087436,9.100587576098727,1905486.8409478362,1353.7967940565036,205792578.8223663,135379.67940565036
4,0.9765403933442827,0.7748893402643042,0.6610879059049942,0.0022443605752731056,0.7168185339938462,7.934271955805759e-20,1.073226014532259,1.826337388000777,0.14492244749500438,0.6749778107137326,9.100587595762866,1905486.845065126,1353.7967953579373,205792579.2670336,135379.67953579372
5,0.20075783103493175,0.06529090114584242,0.7030624115779777,0.5789279269154641,0.1889545644156706,-1.192179147066494e-20,0.08975499907138136,0.7121920735686084,2.5269057833956117,1.5743104507254695,9.100587576221024,1905486.8409734427,1353.7967941207446,205792578.8251318,135379.67941207447
6,0.8979809255247055,0.6511555032631171,0.6532018853851541,0.7815076367638557,0.3535556373079448,-2.690307098332926e-21,2.5959406660276376,1.6851785846950542,0.6252757610859254,0.004350801961222573,9.10058759203336,1905486.8442842397,1353.7967951019943,205792579.1826979,135379.67951019944
7,0.8259345760232446,0.004834218058750033,0.5140655648224409,0.5613788201509238,0.2956181383384088,-9.161868326556023e-21,2.124799268052443,0.0012137184135835386,-6.232608986125075e-21,0.005328880837784616,9.100587590015616,1905486.8438617631,1353.7967949771062,205792579.13707042,135379.6794977106
8,0.8710775989003336,0.7638628306159742,0.7417064387419342,0.4850194394508275,0.3130748186817003,-1.3825722378954875e-20,2.131024263901606,0.18746440582111085,0.0018231588632726334,0.0007086030658421055,9.100587587282806,1905486.843289566,1353.7967948041203,205792579.07527313,135379.679480412
9,0.2366097462535069,0.9847717149607624,0.027837766089809857,0.16899296397981522,0.4796139587007903,-9.774105199124263e-20,0.3075469977632472,0.21542040537085297,-9.774105199124262e-20,2.627313434271762,9.100587580635533,1905486.8418977556,1353.796794353171,205792578.9249576,135379.67943531708
10,0.2629805052361401,0.47543569379118444,0.6110226585290682,0.6716481679530771,0.5461490486551919,-4.521166888568801e-21,1.9828918572961798,0.031203280021033338,-4.5211668885688074e-21,1.9717260991984573,9.100587571165445,1905486.8399149026,1353.7967937870746,205792578.71080947,135379.67937870746
11,0.7402632123029478,0.08407937988921635,0.12234116685784702,0.585928056415204,0.00803830088031728,6.899951025654479e-20,-8.682087709356578e-19,1.9487869455439657,2.8483319127948747,2.971431694537908e-23,9.100587594246914,1905486.8447477152,1353.796795255673,205792579.23275325,135379.6795255673
12,0.5782822298491817,0.8581879377376902,0.05396194482737562,0.8088736714488869,0.9398008925116258,-1.9058241313220834e-25,3.1278431576984924,1.807058422425746,2.8294113313228126,2.099752611156,9.10058757562473,1905486.8408485902,1353.796794072869,205792578.81164774,135379.6794072869
13,0.27167003035811577,0.6290058888206737,0.5454941546444824,0.38511501426916034,0.1337972759161644,-9.150152576599642e-20,1.95337744951399,-9.740878893424454e-20,1.700541817507742,-8.617437580236302e-20,9.100587593762247,1905486.8446462352,1353.796795214947,205792579.2217934,135379.6795214947
14,0.644959855175984,0.9406265685627103,0.4424960340563673,0.47425533502117034,0.10382727863294716,-5.421011395223712e-24,-5.421011395160503e-24,0.01625742187499989,-5.4210113951720616e-24,-2.4270071388594668e-24,9.100587592854318,1905486.8444561327,1353.7967951641342,205792579.20126233,135379.67951641342
15,0.43493448508393023,0.23035238191124643,0.45773373936640865,0.18310972862851432,0.9444490332110214,-5.4531921518903594e-21,0.13627715674076063,1.8852223926657656,0.03983679250906424,4.009143316590821,9.100587520283154,1905486.829261136,1353.7967899094629,205792577.5602027,135379.6789909463
16,0.49957988210931314,0.2970385000021627,0.9707283306459842,0.9121543514257,0.989871689064696,-5.433704627547226e-18,2.1438127490812127,0.4381272869174798,8.474091755303838e-33,0.8657067724895574,9.100587588781584,1905486.8436033812,1353.7967949129945,205792579.10916516,135379.67949129947
